CustomerID,Recency,Frequency,Monetary,AvgOrderValue,CustomerLifetime,Segment
12347,2,7,3314.73,473.53285714285715,365,VIP
12348,248,3,90.19999999999999,30.066666666666663,110,Lost
12349,18,1,999.15,999.15,0,Potential
12350,310,1,294.40000000000003,294.40000000000003,0,Lost
12352,36,7,1130.94,161.56285714285715,260,VIP
12353,204,1,29.300000000000004,29.300000000000004,0,Lost
12354,232,1,682.69,682.69,0,Lost
12355,214,1,219.0,219.0,0,Lost
12356,245,2,1086.56,543.28,80,Lost
12357,33,1,3315.41,3315.41,0,Potential
12358,1,2,878.22,439.11,149,Regular
12359,57,4,3161.58,790.395,274,VIP
12360,52,3,1843.16,614.3866666666667,148,Regular
12361,287,1,174.9,174.9,0,Lost
12362,3,10,4098.9400000000005,409.89400000000006,292,VIP
12363,109,2,484.5,242.25,133,Regular
12364,7,3,1106.28,368.76,105,Regular
12365,291,1,307.94,307.94,0,Lost
12367,4,1,138.3,138.3,0,Potential
12370,51,4,2598.66,649.665,309,VIP
12371,59,1,1300.46,1300.46,0,Potential
12372,71,3,938.34,312.78000000000003,225,Regular
12373,311,1,299.1,299.1,0,Lost
12374,25,1,531.73,531.73,0,Potential
12375,10,2,283.3,141.65,88,Potential
12377,315,2,1472.52,736.26,39,Lost
12378,129,1,3396.64,3396.64,0,Potential
12379,81,2,736.44,368.22,89,Potential
12380,21,4,1738.25,434.5625,164,Regular
12381,4,5,1253.46,250.692,115,Regular
12383,184,5,1211.84,242.368,168,Regular
12384,28,2,286.32,143.16,93,Potential
12386,366,1,215.70000000000002,215.70000000000002,0,Lost
12388,15,6,2466.7000000000003,411.11666666666673,311,VIP
12390,79,1,407.74,407.74,0,Potential
12391,21,1,406.88,406.88,0,Potential
12393,72,4,1193.5,298.375,260,VIP
12394,217,1,331.18,331.18,0,Lost
12395,19,12,1844.5700000000002,153.71416666666667,352,VIP
12397,35,2,1720.01,860.005,100,Regular
12398,45,1,1349.44,1349.44,0,Potential
12399,119,4,729.15,182.2875,142,Regular
12401,303,1,32.85,32.85,0,Lost
12402,323,1,195.6,195.6,0,Lost
12403,49,1,92.9,92.9,0,Potential
12405,148,1,1104.8700000000001,1104.8700000000001,0,Potential
12406,22,2,2871.78,1435.89,161,Regular
12407,49,5,1085.01,217.002,215,Regular
12408,32,5,1869.47,373.894,228,Regular
12409,78,3,1646.79,548.93,104,Regular
12410,308,1,274.23,274.23,0,Lost
12412,74,3,1115.04,371.68,95,Potential
12413,66,3,545.2,181.73333333333335,271,VIP
12414,217,3,343.65000000000003,114.55000000000001,93,Lost
12415,24,11,3756.06,341.46,313,VIP
12417,3,9,2151.75,239.08333333333334,354,VIP
12418,112,1,418.16,418.16,0,Potential
12420,63,1,380.3,380.3,0,Potential
12421,15,4,607.57,151.8925,304,VIP
12422,95,3,645.3100000000001,215.10333333333335,229,Regular
12423,0,8,1535.6100000000001,191.95125000000002,353,VIP
12424,162,2,703.72,351.86,0,Lost
12425,78,1,538.14,538.14,0,Potential
12426,194,1,446.08000000000004,446.08000000000004,0,Lost
12427,21,3,425.62,141.87333333333333,350,VIP
12428,25,8,4830.43,603.80375,258,VIP
12429,9,4,2313.04,578.26,356,VIP
12430,43,1,168.6,168.6,0,Potential
12431,60,13,3866.05,297.38846153846157,313,VIP
12432,42,4,1909.68,477.42,130,Regular
12433,0,7,7947.37,1135.3385714285714,373,VIP
12434,84,2,624.84,312.42,176,Regular
12435,267,1,78.0,78.0,0,Lost
12436,99,1,429.01,429.01,0,Potential
12437,1,18,2760.54,153.36333333333334,330,VIP
12438,14,2,1753.1200000000001,876.5600000000001,126,Regular
12441,366,1,155.55,155.55,0,Lost
12442,3,1,144.06,144.06,0,Potential
12444,21,5,2382.56,476.512,150,Regular
12445,22,1,77.4,77.4,0,Potential
12446,57,1,734.36,734.36,0,Potential
12447,243,1,379.79,379.79,0,Lost
12448,44,1,283.95,283.95,0,Potential
12449,22,4,2733.84,683.46,165,Regular
12450,156,2,131.88,65.94,17,Potential
12451,10,5,5878.31,1175.662,314,VIP
12452,16,1,287.67,287.67,0,Potential
12453,134,1,707.09,707.09,0,Potential
12454,56,1,66.4,66.4,0,Potential
12455,73,5,1201.8600000000001,240.372,223,Regular
12456,44,3,1663.24,554.4133333333333,210,Regular
12457,86,2,958.9300000000001,479.46500000000003,153,Regular
12458,71,2,612.38,306.19,213,Regular
12461,154,1,419.08000000000004,419.08000000000004,0,Potential
12462,18,2,657.8,328.9,285,VIP
12463,53,4,1155.38,288.845,188,Regular
12464,149,4,76.5,19.125,160,Regular
12465,17,2,621.49,310.745,152,Regular
